"Fondsposition per,""19.Juli2024"""
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"PETR3,""PETROLEO BRASILEIRO SA PETROBRAS"",""Energie"",""Aktien"",""59.238.847,67"",""0,27"",""59.238.847,67"",""7.883.553,00"",""7,51"",""Brasilien"",""XBSP"",""BRL"""
"KFH,""KUWAIT FINANCE HOUSE"",""Financials"",""Aktien"",""59.107.460,02"",""0,27"",""59.107.460,02"",""24.931.119,00"",""2,37"",""Kuwait"",""Kuwait Stock Exchange"",""KWD"""
"2308,""DELTA ELECTRONICS INC"",""IT"",""Aktien"",""58.902.429,12"",""0,27"",""58.902.429,12"",""4.830.073,00"",""12,19"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"KOTAKBANK,""KOTAK MAHINDRA BANK LTD"",""Financials"",""Aktien"",""58.722.004,45"",""0,27"",""58.722.004,45"",""2.696.986,00"",""21,77"",""Indien"",""National Stock Exchange Of India"",""INR"""
"105560,""KB FINANCIAL GROUP INC"",""Financials"",""Aktien"",""56.760.905,68"",""0,26"",""56.760.905,68"",""928.255,00"",""61,15"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"BAJFINANCE,""BAJAJ FINANCE LTD"",""Financials"",""Aktien"",""56.364.891,70"",""0,26"",""56.364.891,70"",""680.240,00"",""82,86"",""Indien"",""National Stock Exchange Of India"",""INR"""
"FEMSAUBD,""FOMENTO ECONOMICO MEXICANO"",""Nichtzyklische Konsumgüter"",""Aktien"",""55.593.565,03"",""0,25"",""55.593.565,03"",""4.744.694,00"",""11,72"",""Mexiko"",""Bolsa Mexicana De Valores"",""MXN"""
"NBK,""NATIONAL BANK OF KUWAIT"",""Financials"",""Aktien"",""55.234.587,48"",""0,25"",""55.234.587,48"",""19.392.350,00"",""2,85"",""Kuwait"",""Kuwait Stock Exchange"",""KWD"""
"000270,""KIA CORPORATION CORP"",""Zyklische Konsumgüter "",""Aktien"",""53.592.177,17"",""0,24"",""53.592.177,17"",""639.051,00"",""83,86"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"GFNORTEO,""GPO FINANCE BANORTE"",""Financials"",""Aktien"",""52.568.642,58"",""0,24"",""52.568.642,58"",""6.286.411,00"",""8,36"",""Mexiko"",""Bolsa Mexicana De Valores"",""MXN"""
"MARUTI,""MARUTI SUZUKI INDIA LTD"",""Zyklische Konsumgüter "",""Aktien"",""52.197.794,38"",""0,24"",""52.197.794,38"",""348.682,00"",""149,70"",""Indien"",""National Stock Exchange Of India"",""INR"""
"FSR,""FIRSTRAND LTD"",""Financials"",""Aktien"",""51.620.421,75"",""0,23"",""51.620.421,75"",""12.023.547,00"",""4,29"",""Südafrika"",""Johannesburg Stock Exchange"",""ZAR"""
"BBRI,""BANK RAKYAT INDONESIA (PERSERO)"",""Financials"",""Aktien"",""50.559.127,04"",""0,23"",""50.559.127,04"",""167.051.483,00"",""0,30"",""Indonesien"",""Indonesia Stock Exchange"",""IDR"""
"068270,""CELLTRION INC"",""Gesundheitsversorgung"",""Aktien"",""50.331.131,38"",""0,23"",""50.331.131,38"",""371.470,00"",""135,49"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"2881,""FUBON FINANCIAL HOLDING LTD"",""Financials"",""Aktien"",""49.463.544,09"",""0,23"",""49.463.544,09"",""18.796.434,00"",""2,63"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"TATAMOTORS,""TATA MOTORS LTD"",""Zyklische Konsumgüter "",""Aktien"",""49.328.145,58"",""0,22"",""49.328.145,58"",""4.168.602,00"",""11,83"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2891,""CTBC FINANCIAL HOLDING LTD"",""Financials"",""Aktien"",""48.005.206,23"",""0,22"",""48.005.206,23"",""43.690.079,00"",""1,10"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"NTPC,""NTPC LTD"",""Versorger"",""Aktien"",""47.365.033,03"",""0,22"",""47.365.033,03"",""10.867.070,00"",""4,36"",""Indien"",""National Stock Exchange Of India"",""INR"""
"857,""PETROCHINA LTD H"",""Energie"",""Aktien"",""47.233.724,67"",""0,22"",""47.233.724,67"",""51.890.000,00"",""0,91"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"QNBK,""QATAR NATIONAL BANK"",""Financials"",""Aktien"",""47.089.526,53"",""0,21"",""47.089.526,53"",""11.600.336,00"",""4,06"",""Qatar"",""Qatar Exchange"",""QAR"""
"005490,""POSCO"",""Materialien"",""Aktien"",""46.833.198,37"",""0,21"",""46.833.198,37"",""175.299,00"",""267,16"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"POWERGRID,""POWER GRID CORPORATION OF INDIA LT"",""Versorger"",""Aktien"",""45.616.800,66"",""0,21"",""45.616.800,66"",""11.488.307,00"",""3,97"",""Indien"",""National Stock Exchange Of India"",""INR"""
"7010,""SAUDI TELECOM"",""Kommunikation"",""Aktien"",""45.251.307,77"",""0,21"",""45.251.307,77"",""4.385.869,00"",""10,32"",""Saudi-Arabien"",""Saudi Stock Exchange"",""SAR"""
"HCLTECH,""HCL TECHNOLOGIES LTD"",""IT"",""Aktien"",""45.227.603,69"",""0,21"",""45.227.603,69"",""2.372.992,00"",""19,06"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2882,""CATHAY FINANCIAL HOLDING LTD"",""Financials"",""Aktien"",""44.640.478,34"",""0,20"",""44.640.478,34"",""23.331.781,00"",""1,91"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"GMEXICOB,""GRUPO MEXICO B"",""Materialien"",""Aktien"",""44.636.864,79"",""0,20"",""44.636.864,79"",""7.727.768,00"",""5,78"",""Mexiko"",""Bolsa Mexicana De Valores"",""MXN"""
"SUNPHARMA,""SUN PHARMACEUTICAL INDUSTRIES LTD"",""Gesundheitsversorgung"",""Aktien"",""44.550.672,49"",""0,20"",""44.550.672,49"",""2.376.069,00"",""18,75"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2303,""UNITED MICRO ELECTRONICS CORP"",""IT"",""Aktien"",""44.034.537,04"",""0,20"",""44.034.537,04"",""27.760.000,00"",""1,59"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"WALMEX*,""WALMART DE MEXICO V"",""Nichtzyklische Konsumgüter"",""Aktien"",""43.150.872,49"",""0,20"",""43.150.872,49"",""12.109.146,00"",""3,56"",""Mexiko"",""Bolsa Mexicana De Valores"",""MXN"""
"ZOMATO,""ZOMATO LTD"",""Zyklische Konsumgüter "",""Aktien"",""43.075.657,77"",""0,20"",""43.075.657,77"",""16.464.056,00"",""2,62"",""Indien"",""National Stock Exchange Of India"",""INR"""
"2010,""SAUDI BASIC INDUSTRIES"",""Materialien"",""Aktien"",""42.158.366,21"",""0,19"",""42.158.366,21"",""1.999.138,00"",""21,09"",""Saudi-Arabien"",""Saudi Stock Exchange"",""SAR"""
"3711,""ASE TECHNOLOGY HOLDING LTD"",""IT"",""Aktien"",""42.055.458,35"",""0,19"",""42.055.458,35"",""8.046.734,00"",""5,23"",""Taiwan"",""Taiwan Stock Exchange"",""TWD"""
"3968,""CHINA MERCHANTS BANK LTD H"",""Financials"",""Aktien"",""40.829.802,48"",""0,19"",""40.829.802,48"",""9.421.492,00"",""4,33"",""China"",""Hong Kong Exchanges And Clearing Ltd"",""HKD"""
"ITC,""ITC LTD"",""Nichtzyklische Konsumgüter"",""Aktien"",""40.571.973,08"",""0,18"",""40.571.973,08"",""7.152.782,00"",""5,67"",""Indien"",""National Stock Exchange Of India"",""INR"""
"055550,""SHINHAN FINANCIAL GROUP LTD"",""Financials"",""Aktien"",""40.300.904,53"",""0,18"",""40.300.904,53"",""1.046.616,00"",""38,51"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"035420,""NAVER CORP"",""Kommunikation"",""Aktien"",""39.303.768,39"",""0,18"",""39.303.768,39"",""316.530,00"",""124,17"",""Korea"",""Korea Exchange (Stock Market)"",""KRW"""
"AMXB,""AMERICA MOVIL B"",""Kommunikation"",""Aktien"",""39.203.012,42"",""0,18"",""39.203.012,42"",""44.088.008,00"",""0,89"",""Mexiko"",""Bolsa Mexicana De Valores"",""MXN"""
"SBIN,""STATE BANK OF INDIA"",""Financials"",""Aktien"",""38.610.742,91"",""0,18"",""38.610.742,91"",""3.632.171,00"",""10,63"",""Indien"",""National Stock Exchange Of India"",""INR"""
"ULTRACEMCO,""ULTRATECH CEMENT LTD"",""Materialien"",""Aktien"",""38.382.308,39"",""0,17"",""38.382.308,39"",""285.226,00"",""134,57"",""Indien"",""National Stock Exchange Of India"",""INR"""
"600519,""KWEICHOW MOUTAI LTD A"",""Nichtzyklische Konsumgüter"",""Aktien"",""38.203.286,65"",""0,17"",""38.203.286,65"",""182.386,00"",""209,46"",""China"",""Shanghai Stock Exchange"",""CNY"""
